YYYY-MM-DD HH:MM   12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890

1663-01-31 19:20   Examining my wife’s letter intended to my Lady, and another to Mademoiselle; they were so false spelt that I was ashamed of them.

1663-01-30 20:06   I have a better collection in reference to the Navy, and shall have by the time I have filled my manuscript, than any of my predecessors.

1663-01-30 11:50   I to church, and Mr. Mills made a good sermon upon David’s heart smiting him for cutting off the garment of Saul.

1663-01-30 09:20   A fast for the King’s murther, and we forced to keep it more than we would have done, having forgot to take any victuals into the house.

1663-01-29 08:32   Lay chiding, and then pleased with my wife in bed and did consent to her having a new waistcoate made her for that which she lost yesterday.

1663-01-28 23:54   With Mr. Lewes, learning to understand the manner of a purser’s account, which is little understood by my fellow officers and yet necessary.

1663-01-28 17:20   To Wotton’s, the shoemaker, and there bought another pair of new boots, for the other I bought my last would not fit me.

1663-01-28 15:05   I see how time and example may alter a man; my Lord being now acquainted with all sorts of pleasures, which heretofore he never thought of.

1663-01-28 14:50   I to my Lord Sandwich’s, whom I find missing his ague fit to-day, and is pretty well, playing at dice with Ned Pickering and his page Laud.

1663-01-27 21:33   My brother hath the pain of the stone, and makes bloody water with great pain, it beginning just as mine did. I pray God help him.

1663-01-27 15:10   I am almost discouraged from coming any more to the Committee, were it not that it will bring me to some acquaintance of great men.

1663-01-27 14:47   Mr. Creed and I do find that there is nothing in the world done with true integrity, but there is design along with it.

1663-01-26 20:30   I have some ill offices done to Mr. Coventry, or else he observes that of late I have not despatched business so as I did use to do.

1663-01-26 15:04   Mr. Gauden and I to settle the business of the Tangier victualling, which I perceive none of them yet have hitherto understood but myself.

1663-01-26 09:20   Monsieur Raby tells me the King of France hath a mistress, Mademoiselle La Valiere, that he courts for his pleasure every other day.

1663-01-25 19:19   Collonel Honiwood, who was well yesterday at Canterbury, was flung by his horse in getting up, and broke his scull, and so is dead.

1663-01-25 17:38   My Lord wonders what the project should be of the Duke’s going down to Portsmouth with his Lady: it being no way to increase his popularity.

1663-01-25 15:48   Our discourse upon the rise of most men that we know, and observing them to be the results of chance, not policy, in any of them.

1663-01-25 13:28   I understand the King of France is upon consulting his divines upon the old question, what the power of the Pope is?

1663-01-24 21:49   To my office till late about business, and find that it is business that must and do every day bring me to something.

1663-01-24 15:07   Down to Redriffe, to see a ship hired for Tangier, what readiness she was in, and found her ready to sail.

1663-01-24 08:57   Lay pretty long, and by lying with my sheet upon my lip, as I have of old observed it, my upper lip was blistered in the morning.

1663-01-23 12:01   Meeting Sir W. Batten, turned back again to a coffee-house, and there drunk more till I was almost sick, and here much discourse.

1663-01-23 10:43   Coming by Temple Bar I bought “Audley’s Way to be Rich,” a serious pamphlett and some good things worth my minding.

1663-01-23 09:07   In discourse, among other things, Sir J. Cutler did make it out that the trade of England is as great as ever it was, only in more hands.

1663-01-22 17:29   I was empowered to direct Mr. Lanyon to take up vessels to the quantity of 150 tons, and fill them with bread of Mr. Gawden’s.

1663-01-22 17:08   We were very busy about getting provisions sent forthwith to Tangier, fearing that by Mr. Gawden’s neglect they might want bread.

1663-01-22 15:49   With the rest of the officers to Mr. Russell’s buriall, where a great and good company of aldermen and the livery of the Skinners’ Company.

1663-01-22 13:38   Mr. Wheatly’s daughter cannot fancy my brother because of his imperfection in speech, which I am sorry for, but there the business must die.

1663-01-21 14:22   We saw Mrs. Ackworth’s Rocke, which is one of the finest things done by a woman that ever I saw. I must have my wife to see it.

1663-01-20 16:58   To the office about business with pleasure, seeing myself observed by every body to be the only man of business of us all, but Mr. Coventry.

1663-01-19 22:12   To bed, it being my comfort that every day I understand more the pleasure of following of business and the credit that a man gets by it.

1663-01-19 15:17   There were labells pasted upon each bottle, and in the order and plenty as I never saw books in a bookseller’s shop.

1663-01-19 15:15   Mr. Povy bid me go down into his wine-cellar, where upon several shelves there stood bottles of all sorts of wine, new and old.

1663-01-19 14:12   We did call for prawns, swan, venison, after I had thought the dinner was quite done, and he did immediately produce it.

1663-01-19 13:10   Mr. Povy bidding us, in a frolique, to call for what we had a mind, and he would undertake to give it us.

1663-01-19 13:07   To Mr. Povy’s, where really he made a most excellent and large dinner, of their variety, even to admiration.

1663-01-19 12:10   I discoursed with Mr. Dixon about Mr. Wheatly’s daughter for a wife for my brother Tom.

1663-01-19 08:48   My Lord Sandwich is feverish, and hath sent for Mr. Pierce to let him blood, but not being in the way he puts it off till night.

