YYYY-MM-DD HH:MM   12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890

1662-04-30 21:50   The Doctor being come to us to the ladies’ lodgings, whither came our supper, and we very merry, playing at cards and laughing very merry.

1662-04-30 11:30   Sir G. Carteret came down to the yard, and there we mustered over all the men and determined of some regulations in the yard.

1662-04-29 22:20   The Doctor and I walked to the yard, designing how to prevent our going to London tomorrow, that we might be merry with these ladies.

1662-04-29 22:00   The Doctor and I staid with the ladies playing and laughing, and at last were forced to bid good night for fear of being locked in the town.

1662-04-29 18:50   We carried the ladies by coach to their lodging, which was very poor, but the best they could get, and such as made much mirth among us.

1662-04-29 16:40   I walked with Mrs. Pierce and another lady up and down, and took them to Mrs. Stephens, and there gave them wine and sweetmeats.

1662-04-28 09:10   The Doctor offers to bring me into the college of virtuosoes and my Lord Brouncker’s acquaintance, and show me anatomy, which makes me glad.

1662-04-27 16:50   Mr Timbrell showed us the present they have for the Queen; a salt-sellar of silver with four eagles and four greyhounds standing at the top.

1662-04-27 13:40   To the Yard, and there on board the Swallow in the dock hear our navy chaplain preach a sad sermon, full of nonsense and false Latin.

1662-04-27 11:10   I spoke and saluted Mrs. Pierce, but being in haste could not learn of her where her lodgings are, which vexes me.

1662-04-27 11:00   I followed my Lord Chamberlain in the crowd of gallants through the Queen’s lodgings to chappell; the rooms being all rarely furnished.

1662-04-27 07:30   Sir W. Pen got trimmed before me, and so took the coach to Portsmouth to wait on my Lord Steward, and sent the coach for me back again.

1662-04-26 16:20   To horse again, being in nothing troubled but the badness of my hat, which I borrowed to save my beaver.

1662-04-26 15:50   Southampton is one most gallant street, and is walled round with stone; many old walls of religious houses, and the key, well worth seeing.

1662-04-26 14:40   They brought us caveare, which I attempted to order, but to no purpose, for they had neither given it salt enough, nor are the seedes broke.

1662-04-26 14:10   At Southampton we went to the Mayor’s and dined, and had sturgeon of their own catching the last week, which do not happen in twenty years.

1662-04-26 11:00   Besides my Lord Southampton’s parks and lands, we observed a little church-yard, where the graves are accustomed to be all sowed with sage.

1662-04-26 09:10   Sir George and I, and his clerk Mr. Stephens, and Mr. Holt our guide, over to Gosport; and so rode to Southampton.

1662-04-25 22:40   I was much troubled in my eyes, by reason of the healths I have this day been forced to drink.

1662-04-25 14:20   All the morning at Portsmouth, at the Pay, and then to dinner, and again to the Pay.

1662-04-24 22:20   W. Pen and I walked to the King’s Yard, and there lay at Mr. Tippets’s, where exceeding well treated.

1662-04-24 10:20   To the Pay-house; but the books not being ready, we went to church, where there was much London company, though not so much as I expected.

1662-04-24 08:20   We lay very well; concluding Dr. Clerke to be of the eldest blood of the Clerkes, because that all the fleas came to him and not to me.

1662-04-23 22:40   The Doctor and I lay together at Wiard’s, the chyrurgeon’s, in Portsmouth, his wife a very pretty woman.

1662-04-23 18:10   I did project to make good my oath, that my wife should come if any of our wives came, which my Lady Batten did intend with her husband.

1662-04-23 13:30   Up early, and to Petersfield, and there dined well; and thence got a countryman to guide us by Havant, to avoid going through the Forest.

1662-04-22 19:30   We came to Gilford and passed our time in the garden, cutting of sparagus, the best that ever I eat in my life but in the house last year.

1662-04-22 15:40   Dr. Clerke telling us of the monkey that got hold of the young lady’s cunt as she went to stool to shit, and run from under her coats.

1662-04-22 09:30   We got a dish of buttered eggs, and there staid till Sir G. Carteret came to us, who brought Dr. Clerke with him, at which I was very glad.

1662-04-22 07:40   After taking leave of my wife, which we could hardly do kindly, because of her mind to go with me, Sir W. Pen and I took coach to Lambeth.

1662-04-21 15:20   My Lord told me that the Queen is landed; I hurried to White Hall, the bells ringing in several places; but I found there no such matter.

1662-04-21 06:45   I attempted to persuade my wife to go to Brampton. Seeing that I could keep it no longer I told her that I was resolved to go to Portsmouth.

1662-04-20 15:20   To White Hall to Sir G. Carteret, and so to the Chappell, where I challenged my pew as Clerk of the Privy Seal and had it.

1662-04-20 09:30   My intention being to go to White Hall, it did rain, and the wind against me, that I could by no means get a boat or coach to carry me.

1662-04-19 19:40   I did get a bever, an old one, but a good one, of Sir W. Batten, for which I must give him something; but I am very well pleased with it.

1662-04-19 09:10   I did see Barkestead, Okey, and Corbet, drawn towards the gallows; and there they were hanged and quartered. They all looked very cheerful.

1662-04-18 12:10   My mind is at a great loss what to do with my wife, for I cannot persuade her to go to Brampton, and I am loth to leave her at home.

